id,place,Link,content,News_date,First_Line,latitude,longitude,state,precipitation_3days
107508185,New Delhi,https://timesofindia.indiatimes.com/city/delhi/kid-crushed-by-car-bizman-held-latest-news/articleshow/107508185.cms,"New Delhi: A two-and-a-half-year-old boy was crushed to death under a car while walking near a road in northwest Delhi’s Mukherjee Nagar on Wednesday. The suspect, identified as Mehak Bansal (38), a businessman, has been arrested, police said. The incident which was captured by a CCTV camera, showed a red car colliding with the toddler as he was seen running to the other side. The accused, who was behind the wheel, inadvertently ran over the child, resulting in fatal injuries. Parents and bystanders rushed to the child's aid, transporting him to hospital for urgent medical attention. ""Upon receiving the information, a team rushed to the hospital, where it was discovered that the child had succumbed to his injuries. A case has been registered under Section 279 for rash driving and Section 304(a) for death caused by negligence,"" said Jitender Meena, DCP (Northwest). Explore Your Financial Landscape with Personalized Credit Insights.",2024-02-08,A two-and-a-half-year-old boy was crushed to death under a car while walking near a road in northwest Delhi’s Mukherjee Nagar on Wednesday,28.6138954,77.2090057,Delhi,0.0
107674800,Noida,https://timesofindia.indiatimes.com/city/noida/couple-dies-daughter-in-critical-care-as-car-rams-bike/articleshow/107674800.cms,"Noida: A factory worker and his wife died while their five-year-old daughter sustained grievous injuries and continues to be under critical care in a hit-and-run accident on Monday. The couple was on their way back home to Bhangel in Sector 106 after consultation with a doctor in Delhi around 2pm on Monday when an i20 car, bearing UP registration, hit their bike from behind near the 31-25 roundabout and sped off, police said. A team from Sector 24 and a few passersby rushed the three injured persons to Kailash hospital but Ranjan Kumar (45) died on the way. His wife Ruby (40) succumbed during treatment while their daughter Milki is still under treatment, SHO Sector 24 Vivek Srivastava said. “The girl is out of danger but doctors said she is still under observation,” the SHO said. Police, meanwhile, handed over the bodies to their family members after the autopsy. “A case under IPC Sections 304 A (causing death by negligence), 279 (rash driving) and 338 (causing grievous hurt by act endangering life or personal safety of others) has been filed against the i20 driver. We identified the car’s number and are trying to reach its owner,” the officer said. A total of 1,176 road crashes killed 470 people and left 858 injured last year compared to 437 fatalities in 1,122 accidents in the year preceding it. Over 850 people were injured in 2022. Explore Your Financial Landscape with Personalized Credit Insights.",2024-02-14,A factory worker and his wife died while their five-year-old daughter sustained grievous injuries and continues to be under critical care in a hit-and-run accident on Monday,28.5706333,77.3272147,Uttar Pradesh,0.0
107612340,Kota,https://timesofindia.indiatimes.com/city/jaipur/car-accident-in-jhalawar-kota-2-killed-3-critically-injured/articleshow/107612340.cms,"Kota: Two people were killed and three others were critically injured on Saturday night when their car plunged into a ditch after hitting a bridge wall near Manyakhedi village in Jhalawar district. The deceased were identified as Suhail Mohammad (22) and Sameer Shah (24), both residents of Manhorethana town. The injured were identified as Abrar, Sayeed, and Aman, also from Manhorethana. The accident occurred around 9 pm on the Jhalawar-Eklera state highway when the car, traveling from Jhalawar, swerved and hit the bridge wall before falling into a 10-15 foot deep ditch, according to Manhorethana police station SHO Ajit Choudhary. Suhail Mohammad died on the spot, while Sameer Shah succumbed to his injuries during treatment at a Jhalawar hospital on Sunday morning. One of the injured was transferred to SMS Hospital in Jaipur for further treatment, while the other two remain hospitalized in Kota in critical condition. Police have registered an accidental case and are investigating the incident. The bodies of the deceased were handed over to their families after post-mortem examinations on Sunday morning. Explore Your Financial Landscape with Personalized Credit Insights.",2024-02-12,Two people were killed and three others were critically injured on Saturday night when their car plunged into a ditch after hitting a bridge wall near Manyakhedi village in Jhalawar district,25.1737019,75.8574194,Rajasthan,0.0
107578941,New Delhi,https://timesofindia.indiatimes.com/india/3-killed-12-injured-as-car-falls-into-gorge-in-j-ks-kishtwar/articleshow/107578941.cms,"NEW DELHI: Three individuals, including an infant, lost their lives, and 12 others sustained injuries in Jammu and Kashmir's Kishtwar district when an SUV skidded off the road and plunged into a deep gorge officials said on Saturday. The accident occurred late Friday evening when the overloaded passenger vehicle met with the accident at the Hakoo village on the Gulabgarh-Machail road , the officials said. Three individuals—Daya Krishan aged 36 years old, Sabita Devi aged 30 years old, and a 15-day-old boy— were killed and 12 others were injured in the accident, Officials added. Officials further informed that four critically injured individuals were hospitalised at the Government Medical College (GMC) in Jammu for specialised treatment. The Kishtwar district administration promptly declared an ex-gratia relief of Rs 50,000 for the families of those deceased and Rs 10,000 for the critically injured under the District Red Cross Fund. Explore Your Financial Landscape with Personalized Credit Insights.",2024-02-11,"Three individuals, including an infant, lost their lives, and 12 others sustained injuries in Jammu and Kashmir's Kishtwar district when an SUV skidded off the road and plunged into a deep gorge officials said on Saturday",28.6138954,77.2090057,Delhi,0.0
107178539,Jalandhar,https://timesofindia.indiatimes.com/city/ludhiana/4-killed-2-injured-in-car-truck-collision-on-jammu-jalandhar-national-highway/articleshow/107178539.cms,"JALANDHAR: At least four people were killed, and two sustained injuries in a collision between a car and a truck on the Jammu-Jalandhar National Highway on Saturday. ""A car and truck collided, and five people traveling in the car, out of which four lost their lives on the spot,"" said Har Prem Singh, SHO Dasuha. ""The injured have been admitted to the civil hospital, and we are verifying how this accident happened,"" added SHO Dasuha. (With inputs from agency) Explore Your Financial Landscape with Personalized Credit Insights.",2024-01-27,"At least four people were killed, and two sustained injuries in a collision between a car and a truck on the Jammu-Jalandhar National Highway on Saturday",31.3323762,75.576889,Punjab,0.0
107479317,Bilaspur,https://timesofindia.indiatimes.com/city/shimla/1-killed-3-injured-as-leopard-pounces-on-car-in-himachal-pradeshs-bilaspur/articleshow/107479317.cms,"BILASPUR : One person was killed and three others sustained injuries when a leopard suddenly attacked a car carrying passengers near Hawan village last night, as reported by a government spokesperson on Wednesday. The passengers were returning from a wedding in Mandi district when the attack occurred, causing the vehicle to plummet 150 feet into a nearby gorge. According to the spokesperson, the driver of the car, Himmat Singh, was killed, and three others were injured when the leopard leaped onto the vehicle. The impact was so severe that the vehicle plunged into a gorge, he added. Upon learning about the incident, the nearby villagers informed the police, and the injured were promptly taken to the hospital for treatment. The spokesperson further stated that at the hospital, doctors declared Himmat Singh as brought dead. The Ghumarwin police had sent the deceased's body to the Civil Hospital for post-mortem examination, and a case of accident had been registered, he added. Further investigation into the matter is ongoing, stated the spokesperson. (With inputs from PTI) Explore Your Financial Landscape with Personalized Credit Insights.",2024-02-07,"One person was killed and three others sustained injuries when a leopard suddenly attacked a car carrying passengers near Hawan village last night, as reported by a government spokesperson on Wednesday",28.868311,79.29807497,Haryana,0.0
107446381,Mumbai,https://timesofindia.indiatimes.com/city/mumbai/car-rolls-off-slope-due-to-tyre-burst-in-palghar-2-dead-4-hurt/articleshow/107446381.cms,"MUMBAI: Two men died and four others were injured when the car they were travelling in turned turtle and rolled down a slope after one of the tyres of the vehicle burst in Palghar early Sunday morning. The six men from Bhadave village in Palghar were on their way for a cricket match at Nagzari village, around 42km away, the police said, adding that they would often travel in and around Palghar for cricket tournaments. At Garvashet village, one of the tyres burst around 6.30 am, killing the two in the front seat - Chandrakant Patil (40) and Utkesh Raut (27) - on the spot. It is still to be ascertained as to who was driving the car. Locals and people from passing vehicle rushed to help those in the car. The other four in the rear seat - Mayur Vaidya, Lokesh Vaidya, Dhiraj Patil and Meet Raut - all in their 20s, were were rescued. They have been admitted to a private hospital in Boisar. Statements of the injured are still to be recorded. The police said they are still to verify if the car was speeding. Cricket bats and tennis balls were found in the boot. Explore Your Financial Landscape with Personalized Credit Insights.",2024-02-06,Two men died and four others were injured when the car they were travelling in turned turtle and rolled down a slope after one of the tyres of the vehicle burst in Palghar early Sunday morning,19.08157715,72.88662754,Maharashtra,0.0
107394532,New Delhi,https://timesofindia.indiatimes.com/city/delhi/car-driver-booked-for-accident-that-killed-37-yr-old-in-s-delhi/articleshow/107394532.cms,"New Delhi: Two weeks after a car collided with an auto, resulting in the death of a 37-year-old man and injuries to two passengers, including a 5-year-old, a case of negligence has been registered, police said on Friday. The incident took place in Defence Colony area of south Delhi. The offending vehicle has been identified and a manhunt has been initiated to nab the suspect. According to police they had received a PCR call on the afternoon of Jan 20 informing them about a crash near Moolchand hospital. “ The victims, a father-daughter duo, and the auto driver had sustained injuries and were rushed to the hospital.” said a senior police officer. The passengers had received minor injuries and were discharged from the hospital but the victim identified as Gareeb Das succumbed to his injuries on Friday. A case was registered under relevant sections of death due to negligence. Explore Your Financial Landscape with Personalized Credit Insights.",2024-02-04,"Two weeks after a car collided with an auto, resulting in the death of a 37-year-old man and injuries to two passengers, including a 5-year-old, a case of negligence has been registered, police said on Friday",28.6138954,77.2090057,Delhi,5.099999845027924
107775613,Pune,https://timesofindia.indiatimes.com/city/pune/3-killed-1-injured-in-car-accident-on-pune-nashik-highway/articleshow/107775613.cms,"PUNE: Three killed and one person sustained injuries in a car accident on the Pune-Nashik Highway near Manchar taluka of Pune district on Saturday morning. The car collided with a road divider before crashing into a tempo, as confirmed by Pune Rural police officials. (With inputs from ANI) Explore Your Financial Landscape with Personalized Credit Insights.",2024-02-17,Three killed and one person sustained injuries in a car accident on the Pune-Nashik Highway near Manchar taluka of Pune district on Saturday morning,18.521428,73.8544541,Maharashtra,0.0
107379707,Bhubaneswar,https://timesofindia.indiatimes.com/city/bhubaneswar/4-killed-as-car-crashes-into-roadside-house-in-cuttack/articleshow/107379707.cms,"BHUBANESWAR: Four people were killed in a car accident in Odisha 's Cuttack on Friday night. The incident took place near Gadadharpur village in the Tigiria police station area on Friday night. The deceased were friends who were returning home after attending a wedding in Koilikanya village. Police suspect that low visibility caused by fog may have contributed to the accident. The bodies have been sent for post-mortem examination. In another unfortunate incident in the district, two individuals lost their lives when their motorcycle collided with a bus in Janhia Chhak in the Nischintakoili police station area on Friday night. The victims hailed from Jagatsinghpur district. The police are currently conducting an investigation to determine the cause of the accident. Explore Your Financial Landscape with Personalized Credit Insights.",2024-02-03,Four people were killed in a car accident in Odisha 's Cuttack on Friday night,20.2602964,85.8394521,Odisha,1.0000000298023224
